id,created_at,updated_at,course_id,place_id,user_id
1,2023-11-28 04:47:43.836123,2023-11-28 04:47:43.836153,,205,1
2,2023-11-28 04:47:51.464408,2023-11-28 04:47:51.464441,,211,1
3,2023-11-28 04:47:52.804366,2023-11-28 04:47:52.804406,,213,1
4,2023-11-28 04:52:42.835696,2023-11-28 04:52:42.835727,,227,1
5,2023-11-28 04:52:49.659241,2023-11-28 04:52:49.659274,,234,1
6,2023-11-28 04:52:55.663374,2023-11-28 04:52:55.663407,,230,1
7,2023-11-28 04:52:56.994728,2023-11-28 04:52:56.994757,,229,1
8,2023-11-28 04:53:04.955364,2023-11-28 04:53:04.955397,,235,1
9,2023-11-28 04:53:44.567770,2023-11-28 04:53:44.567802,,280,1
10,2023-11-28 05:08:58.502915,2023-11-28 05:08:58.502946,,1810,1
11,2023-11-28 05:09:00.637168,2023-11-28 05:09:00.637199,,1821,1
13,2023-11-28 05:09:42.659821,2023-11-28 05:09:42.659852,,1707,1
14,2023-11-28 05:09:43.470892,2023-11-28 05:09:43.470924,,1722,1
15,2023-11-28 05:09:46.430654,2023-11-28 05:09:46.430710,,1797,1
62,2023-11-28 18:12:28.823442,2023-11-28 18:12:28.823473,,207,6
63,2023-11-28 18:36:34.222058,2023-11-28 18:36:34.222098,,133,4
64,2023-11-28 18:36:42.426967,2023-11-28 18:36:42.427004,,182,4
65,2023-11-28 18:37:21.101203,2023-11-28 18:37:21.101239,,631,4
66,2023-11-28 18:37:36.537466,2023-11-28 18:37:36.537502,,687,4
67,2023-11-28 18:38:18.193826,2023-11-28 18:38:18.193857,,1722,4
68,2023-11-29 03:03:20.928176,2023-11-29 03:03:20.928205,,877,4
71,2023-11-29 03:11:36.405022,2023-11-29 03:11:36.405063,,1703,7
72,2023-11-29 03:11:50.908895,2023-11-29 03:11:50.908928,,539,7
73,2023-11-29 03:12:01.469124,2023-11-29 03:12:01.469165,,1514,7
74,2023-11-29 03:12:41.201066,2023-11-29 03:12:41.201097,,1413,7
75,2023-11-29 03:13:16.433064,2023-11-29 03:13:16.433095,,1435,7
76,2023-11-29 03:13:17.693258,2023-11-29 03:13:17.693287,,1436,7
77,2023-11-29 03:14:21.765607,2023-11-29 03:14:21.765655,,784,7
78,2023-11-29 03:14:43.533260,2023-11-29 03:14:43.533290,,824,7
79,2023-11-29 03:18:36.691773,2023-11-29 03:18:36.691803,,5,8
80,2023-11-29 03:18:50.010432,2023-11-29 03:18:50.010464,,19,8
81,2023-11-29 03:19:03.146617,2023-11-29 03:19:03.146647,,692,8
82,2023-11-29 03:19:10.014453,2023-11-29 03:19:10.014488,,782,8
83,2023-11-29 03:19:33.263551,2023-11-29 03:19:33.263579,,1610,8
84,2023-11-29 03:19:39.929343,2023-11-29 03:19:39.929373,,1655,8
85,2023-11-29 03:20:40.402938,2023-11-29 03:20:40.402968,,1444,8
86,2023-11-29 03:20:42.796553,2023-11-29 03:20:42.796584,,1440,8
87,2023-11-29 03:20:46.647636,2023-11-29 03:20:46.647665,,1557,8
88,2023-11-29 03:20:50.239461,2023-11-29 03:20:50.239493,,1707,8
89,2023-11-29 03:20:52.316238,2023-11-29 03:20:52.316272,,1722,8
90,2023-11-29 03:26:24.282531,2023-11-29 03:26:24.282561,,869,8
91,2023-11-29 03:30:01.414428,2023-11-29 03:30:01.414462,,1862,8
92,2023-11-29 03:30:09.309309,2023-11-29 03:30:09.309340,,1861,8
93,2023-11-29 03:33:00.797032,2023-11-29 03:33:00.797063,,876,9
94,2023-11-29 03:33:01.504469,2023-11-29 03:33:01.504498,,414,9
95,2023-11-29 04:53:52.943767,2023-11-29 04:53:52.943801,,936,10
96,2023-11-29 04:54:22.808012,2023-11-29 04:54:22.808043,,1653,10
97,2023-11-29 04:55:11.003246,2023-11-29 04:55:11.003279,,1572,10
98,2023-11-29 06:24:14.154136,2023-11-29 06:24:14.154173,,210,9
99,2023-11-29 06:24:19.745159,2023-11-29 06:24:19.745190,,227,9
100,2023-11-29 06:24:22.557211,2023-11-29 06:24:22.557242,,234,9
101,2023-11-29 06:24:53.101337,2023-11-29 06:24:53.101368,,251,9
102,2023-11-29 06:25:29.716378,2023-11-29 06:25:29.716414,,343,9
103,2023-11-29 06:25:58.205035,2023-11-29 06:25:58.205067,,376,9
104,2023-11-29 06:28:14.193261,2023-11-29 06:28:14.193292,,1777,9
106,2023-11-29 06:29:52.284680,2023-11-29 06:29:52.284710,,1349,9
107,2023-11-29 06:30:09.104036,2023-11-29 06:30:09.104066,,830,9
108,2023-11-29 06:30:11.568552,2023-11-29 06:30:11.568582,,1431,9
109,2023-11-29 06:30:30.038560,2023-11-29 06:30:30.038599,,671,9
111,2023-11-29 06:31:09.952080,2023-11-29 06:31:09.952111,,763,9
112,2023-11-29 06:32:11.829939,2023-11-29 06:32:11.829969,,868,9
113,2023-11-29 06:32:24.525424,2023-11-29 06:32:24.525454,,906,9
116,2023-11-29 06:34:52.533688,2023-11-29 06:34:52.533721,,637,4
117,2023-11-29 06:34:58.446016,2023-11-29 06:34:58.446048,,634,4
118,2023-11-29 06:35:12.546150,2023-11-29 06:35:12.546180,,674,4
119,2023-11-29 06:35:46.932612,2023-11-29 06:35:46.932641,,671,4
120,2023-11-29 06:36:00.556467,2023-11-29 06:36:00.556499,,713,4
121,2023-11-29 06:36:14.705327,2023-11-29 06:36:14.705356,,1557,4
124,2023-11-29 06:38:00.293756,2023-11-29 06:38:00.293793,,1155,7
126,2023-11-29 06:38:06.912579,2023-11-29 06:38:06.912610,,1473,7
128,2023-11-29 06:38:30.613560,2023-11-29 06:38:30.613590,,214,6
129,2023-11-29 06:38:40.088465,2023-11-29 06:38:40.088497,,1127,7
132,2023-11-29 06:49:58.501590,2023-11-29 06:49:58.501623,,211,6
133,2023-11-29 08:56:33.013780,2023-11-29 08:56:33.013812,,1722,11
134,2023-11-29 08:57:06.118127,2023-11-29 08:57:06.118161,,207,11
135,2023-11-29 08:57:10.689390,2023-11-29 08:57:10.689421,,1707,11
136,2023-11-29 08:57:16.681291,2023-11-29 08:57:16.681322,,1797,11
137,2023-11-29 08:57:23.946529,2023-11-29 08:57:23.946561,,230,11
138,2023-11-29 08:58:41.643721,2023-11-29 08:58:41.643751,,1722,12
139,2023-11-29 08:58:45.406275,2023-11-29 08:58:45.406308,,1557,12
